# output/output_voltage_566.csv run at 2019-09-30 09:26:00 GMT on 1884 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
Bus44,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus45,249.110110,-0.525670,249.541316,3.661269,250.508663,1.568089
Bus46,248.216134,-0.523595,248.660854,3.662118,250.065313,1.569088
Bus47,248.208722,-0.523597,248.636259,3.662159,250.057662,1.569084
Bus48,246.894335,-0.520541,247.615941,3.662922,249.477998,1.570681
Bus49,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus50,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus51,249.109049,-0.525668,249.540984,3.661269,250.508345,1.568088
Bus52,248.215882,-0.523595,248.660006,3.662119,250.065053,1.569088
Bus53,246.848784,-0.520436,247.578516,3.662952,249.457432,1.570735
Bus54,246.894335,-0.520541,247.615941,3.662922,249.477998,1.570681
Bus55,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus56,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus57,249.108141,-0.525667,249.540701,3.661268,250.508074,1.568088
Bus58,248.215642,-0.523595,248.659198,3.662121,250.064805,1.569087
Bus59,246.642481,-0.519962,247.408992,3.663091,249.364281,1.570981
Bus60,246.894335,-0.520541,247.615941,3.662922,249.477998,1.570681
Bus61,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus62,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus63,249.103787,-0.525659,249.539341,3.661268,250.506772,1.568088
Bus64,248.215498,-0.523595,248.658714,3.662122,250.064657,1.569087
Bus65,246.603582,-0.519872,247.375246,3.663125,249.344777,1.571029
Bus66,246.567935,-0.519835,247.386443,3.663081,249.342820,1.570976
Bus67,246.894335,-0.520541,247.615941,3.662922,249.477998,1.570681
Bus68,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus69,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus70,249.088399,-0.525634,249.534534,3.661266,250.502170,1.568087
Bus71,248.215216,-0.523595,248.657765,3.662123,250.064365,1.569087
Bus72,246.144162,-0.518797,246.976579,3.663523,249.114387,1.571600
Bus73,246.549661,-0.519803,247.380957,3.663078,249.337601,1.570974
Bus74,246.549772,-0.519804,247.380907,3.663078,249.337549,1.570974
Bus75,246.894335,-0.520541,247.615941,3.662922,249.477998,1.570681
Bus76,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus77,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus78,248.213788,-0.523596,248.652953,3.662131,250.062889,1.569087
Bus79,245.984087,-0.518421,246.837623,3.663662,249.034098,1.571799
Bus80,246.894335,-0.520541,247.615941,3.662922,249.477998,1.570681
Bus81,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus82,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus83,248.208404,-0.523597,248.634824,3.662162,250.057327,1.569084
Bus84,245.949158,-0.518339,246.807299,3.663693,249.016577,1.571843
Bus85,246.894335,-0.520541,247.615941,3.662922,249.477998,1.570681
Bus86,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus87,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus88,245.878333,-0.518173,246.745807,3.663754,248.981050,1.571931
Bus89,246.894335,-0.520541,247.615941,3.662922,249.477998,1.570681
Bus90,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus91,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus92,245.811547,-0.518016,246.687818,3.663812,248.947548,1.572014
Bus93,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus94,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus95,245.772732,-0.517925,246.654113,3.663846,248.928077,1.572062
Bus96,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus97,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus98,245.747098,-0.517865,246.631854,3.663869,248.915217,1.572094
Bus99,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus100,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus101,245.711707,-0.517781,246.601120,3.663899,248.897462,1.572138
Bus102,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus103,249.585795,-0.526717,249.916350,3.661017,250.705541,1.567665
Bus104,245.711538,-0.517782,246.600579,3.663899,248.897013,1.572137
Bus105,245.689217,-0.517726,246.583440,3.663915,248.888014,1.572169
Bus106,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus107,245.711332,-0.517783,246.599924,3.663899,248.896468,1.572136
Bus108,245.676465,-0.517695,246.573415,3.663925,248.882656,1.572186
Bus109,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus110,245.711095,-0.517783,246.599165,3.663899,248.895838,1.572135
Bus111,245.173479,-0.516461,246.177858,3.664284,248.671305,1.572861
Bus112,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus113,245.710732,-0.517785,246.598008,3.663899,248.894876,1.572133
Bus114,245.123112,-0.516337,246.138233,3.664320,248.650139,1.572928
Bus115,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus116,245.710266,-0.517786,246.596521,3.663898,248.893640,1.572130
Bus117,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus118,244.968772,-0.515987,246.017554,3.664356,248.604877,1.573072
Bus119,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus120,245.709931,-0.517788,246.595453,3.663898,248.892752,1.572128
Bus121,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus122,245.122156,-0.516343,246.137149,3.664321,248.646248,1.572927
Bus123,244.690517,-0.515354,245.799926,3.664420,248.523268,1.573332
Bus124,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus125,245.709458,-0.517789,246.593944,3.663898,248.891498,1.572126
Bus126,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus127,245.120685,-0.516352,246.135482,3.664322,248.640263,1.572926
Bus128,244.565418,-0.515070,245.702060,3.664450,248.486574,1.573449
Bus129,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus130,245.708947,-0.517791,246.592311,3.663897,248.890141,1.572123
Bus131,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus132,245.103580,-0.516323,246.130112,3.664320,248.635152,1.572925
Bus133,245.121204,-0.516380,246.131653,3.664336,248.622493,1.572921
Bus134,244.528201,-0.514985,245.672942,3.664458,248.475657,1.573484
Bus135,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus136,245.708464,-0.517793,246.590771,3.663897,248.888861,1.572120
Bus137,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus138,245.102107,-0.516320,246.129650,3.664319,248.634712,1.572925
Bus139,245.121590,-0.516401,246.128805,3.664346,248.609273,1.572918
Bus140,244.486193,-0.514889,245.640073,3.664468,248.463334,1.573523
Bus141,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus142,245.707671,-0.517796,246.588240,3.663896,248.886757,1.572116
Bus143,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus144,245.100661,-0.516318,246.129196,3.664319,248.634280,1.572924
Bus145,245.121848,-0.516414,246.126898,3.664352,248.600420,1.572915
Bus146,244.446687,-0.514799,245.609161,3.664477,248.451745,1.573560
Bus147,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus148,245.703899,-0.517809,246.576203,3.663893,248.876753,1.572094
Bus149,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus150,245.099494,-0.516316,246.128829,3.664319,248.633931,1.572924
Bus151,245.121305,-0.516429,246.129705,3.664358,248.592481,1.572922
Bus152,245.108112,-0.516418,246.080705,3.664431,248.586324,1.572909
Bus153,244.400594,-0.514694,245.573092,3.664488,248.438224,1.573603
Bus154,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus155,245.703078,-0.517812,246.573581,3.663892,248.874573,1.572090
Bus156,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus157,245.097742,-0.516313,246.128280,3.664319,248.633408,1.572924
Bus158,245.119865,-0.516467,246.137149,3.664371,248.571426,1.572941
Bus159,245.107276,-0.516418,246.077893,3.664436,248.585466,1.572909
Bus160,244.387331,-0.514664,245.562714,3.664491,248.434333,1.573616
Bus161,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus162,245.687292,-0.517816,246.521105,3.663981,248.858363,1.572082
Bus163,245.699394,-0.517824,246.567118,3.663888,248.866999,1.572079
Bus164,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus165,245.095630,-0.516310,246.127617,3.664319,248.632777,1.572924
Bus166,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus167,245.106512,-0.516418,246.075325,3.664440,248.584682,1.572908
Bus168,244.311989,-0.514492,245.503752,3.664509,248.412230,1.573686
Bus169,247.628736,-0.522220,248.219055,3.662430,249.809510,1.569809
Bus170,245.684310,-0.517817,246.511191,3.663998,248.855301,1.572081
Bus171,245.694504,-0.517839,246.558537,3.663883,248.856944,1.572064
Bus172,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus173,245.094035,-0.516307,246.127116,3.664318,248.632300,1.572924
Bus174,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus175,245.115527,-0.516485,246.136814,3.664376,248.509285,1.573077
Bus176,245.106195,-0.516418,246.074258,3.664442,248.584356,1.572908
Bus177,244.269438,-0.514394,245.470449,3.664519,248.399747,1.573726
Bus178,245.678157,-0.517819,246.490738,3.664032,248.848983,1.572078
Bus179,245.693985,-0.517839,246.556838,3.663882,248.856780,1.572062
Bus180,245.687720,-0.517842,246.552038,3.663882,248.835495,1.572100
Bus181,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus182,245.092188,-0.516304,246.126536,3.664318,248.631749,1.572924
Bus183,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus184,245.115113,-0.516486,246.136499,3.664376,248.503364,1.573091
Bus185,245.105511,-0.516419,246.071958,3.664446,248.583654,1.572908
Bus186,244.237853,-0.514322,245.445728,3.664526,248.390480,1.573755
Bus187,245.691945,-0.517837,246.550156,3.663878,248.856130,1.572050
Bus188,245.659645,-0.517855,246.525143,3.663875,248.746722,1.572249
Bus189,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus190,245.090452,-0.516301,246.125991,3.664318,248.631230,1.572924
Bus191,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus192,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus193,245.114712,-0.516486,246.136194,3.664376,248.497636,1.573105
Bus194,245.103769,-0.516419,246.066100,3.664456,248.581867,1.572907
Bus195,244.209457,-0.514257,245.423503,3.664533,248.382149,1.573782
Bus196,245.688302,-0.517834,246.538224,3.663871,248.854971,1.572030
Bus197,245.656924,-0.517856,246.522539,3.663874,248.737998,1.572264
Bus198,245.658047,-0.517856,246.523610,3.663875,248.741738,1.572257
Bus199,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus200,245.088585,-0.516298,246.125405,3.664318,248.630672,1.572924
Bus201,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus202,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus203,245.114391,-0.516487,246.135950,3.664376,248.493055,1.573116
Bus204,245.102747,-0.516419,246.062664,3.664462,248.580818,1.572907
Bus205,244.174184,-0.514177,245.395893,3.664541,248.371801,1.573815
Bus206,245.673691,-0.517809,246.533719,3.663869,248.850685,1.572028
Bus207,245.688774,-0.517834,246.535421,3.663872,248.854432,1.572024
Bus208,245.650045,-0.517859,246.515954,3.663873,248.715940,1.572301
Bus209,245.657821,-0.517856,246.523394,3.663875,248.741033,1.572259
Bus210,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus211,245.085729,-0.516293,246.124509,3.664317,248.629819,1.572923
Bus212,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus213,245.114136,-0.516487,246.135755,3.664376,248.489406,1.573124
Bus214,245.102031,-0.516419,246.060257,3.664466,248.580083,1.572906
Bus215,244.109096,-0.514028,245.344943,3.664556,248.352704,1.573876
Bus216,245.625868,-0.517727,246.518971,3.663862,248.836654,1.572025
Bus217,245.689626,-0.517833,246.530362,3.663874,248.853458,1.572014
Bus218,245.657638,-0.517856,246.523219,3.663874,248.740465,1.572259
Bus219,245.122469,-0.516341,246.137504,3.664320,248.647522,1.572928
Bus220,245.077932,-0.516280,246.122061,3.664316,248.627489,1.572923
Bus221,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus222,245.113596,-0.516488,246.135345,3.664376,248.481691,1.573143
Bus223,245.100654,-0.516420,246.055626,3.664474,248.578670,1.572906
Bus224,244.052354,-0.513898,245.300522,3.664570,248.336056,1.573929
Bus225,245.605253,-0.517692,246.512614,3.663859,248.830605,1.572024
Bus226,245.689930,-0.517833,246.528555,3.663874,248.853110,1.572011
Bus227,245.657493,-0.517856,246.523079,3.663874,248.740011,1.572260
Bus228,245.077267,-0.516278,246.121852,3.664316,248.627291,1.572923
Bus229,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus230,245.113170,-0.516488,246.135021,3.664376,248.475615,1.573157
Bus231,245.099969,-0.516420,246.053322,3.664478,248.577967,1.572905
Bus232,244.013758,-0.513810,245.270306,3.664579,248.324731,1.573965
Bus233,245.658041,-0.517841,246.421957,3.664055,248.820354,1.571996
Bus234,245.689930,-0.517833,246.528555,3.663874,248.853110,1.572011
Bus235,245.657270,-0.517856,246.522866,3.663874,248.739317,1.572261
Bus236,245.076960,-0.516278,246.121756,3.664316,248.627199,1.572923
Bus237,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus238,245.112875,-0.516488,246.134796,3.664377,248.471400,1.573167
Bus239,245.099482,-0.516420,246.051685,3.664481,248.577467,1.572905
Bus240,243.988405,-0.513752,245.250456,3.664585,248.317292,1.573989
Bus241,245.653410,-0.517842,246.406477,3.664081,248.815597,1.571994
Bus242,245.657010,-0.517856,246.522616,3.663874,248.738505,1.572263
Bus243,245.076631,-0.516277,246.121653,3.664316,248.627101,1.572923
Bus244,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus245,245.112581,-0.516489,246.134573,3.664377,248.467196,1.573177
Bus246,245.093915,-0.516422,246.032965,3.664513,248.571754,1.572902
Bus247,243.933843,-0.513627,245.207736,3.664598,248.301282,1.574040
Bus248,245.646304,-0.517844,246.382718,3.664122,248.808297,1.571990
Bus249,245.646301,-0.517844,246.382723,3.664122,248.808295,1.571990
Bus250,245.656609,-0.517856,246.522232,3.663874,248.737257,1.572265
Bus251,245.076318,-0.516277,246.121554,3.664316,248.627007,1.572923
Bus252,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus253,245.112151,-0.516489,246.134245,3.664377,248.461045,1.573192
Bus254,245.092273,-0.516422,246.027445,3.664522,248.570070,1.572902
Bus255,243.903734,-0.513554,245.205568,3.664595,248.299627,1.574040
Bus256,243.900199,-0.513549,245.179669,3.664611,248.289665,1.574072
Bus257,245.655145,-0.517857,246.520828,3.663874,248.732690,1.572272
Bus258,245.075968,-0.516276,246.121444,3.664316,248.626903,1.572923
Bus259,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus260,245.110531,-0.516491,246.133013,3.664377,248.437912,1.573247
Bus261,245.091906,-0.516422,246.026210,3.664524,248.569693,1.572902
Bus262,243.899572,-0.513544,245.205268,3.664595,248.299398,1.574040
Bus263,243.774053,-0.513258,245.074422,3.664662,248.246103,1.574192
Bus264,245.648015,-0.517860,246.513993,3.663872,248.710462,1.572309
Bus265,245.075246,-0.516275,246.121218,3.664316,248.626687,1.572923
Bus266,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus267,245.110153,-0.516492,246.132725,3.664377,248.432513,1.573260
Bus268,245.087355,-0.516423,246.010486,3.664551,248.565015,1.572899
Bus269,245.091745,-0.516422,246.025682,3.664525,248.569527,1.572901
Bus270,243.897658,-0.513539,245.205131,3.664595,248.299293,1.574040
Bus271,243.772185,-0.513260,245.073027,3.664662,248.218128,1.574259
Bus272,243.731975,-0.513153,245.037771,3.664676,248.234590,1.574226
Bus273,245.074494,-0.516274,246.120982,3.664316,248.626462,1.572922
Bus274,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus275,245.109980,-0.516492,246.132593,3.664377,248.430039,1.573266
Bus276,245.082844,-0.516424,245.994902,3.664578,248.560379,1.572897
Bus277,245.091555,-0.516422,246.025062,3.664526,248.569333,1.572901
Bus278,243.895386,-0.513534,245.204967,3.664594,248.299168,1.574040
Bus279,243.772049,-0.513260,245.072925,3.664662,248.216094,1.574264
Bus280,243.579466,-0.512775,244.904912,3.664730,248.192856,1.574348
Bus281,245.071636,-0.516269,246.120084,3.664315,248.625608,1.572922
Bus282,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus283,245.109866,-0.516492,246.132507,3.664377,248.428413,1.573269
Bus284,245.091384,-0.516422,246.024501,3.664527,248.569158,1.572901
Bus285,243.891879,-0.513525,245.204714,3.664594,248.298976,1.574040
Bus286,243.771937,-0.513260,245.072842,3.664662,248.214418,1.574268
Bus287,243.533261,-0.512643,244.873342,3.664703,248.197893,1.574367
Bus288,243.558761,-0.512724,244.884085,3.664754,248.181483,1.574373
Bus289,245.056461,-0.516243,246.115321,3.664313,248.621075,1.572921
Bus290,245.119365,-0.516481,246.139734,3.664376,248.564112,1.572947
Bus291,245.109443,-0.516492,246.132178,3.664377,248.422753,1.573283
Bus292,245.109820,-0.516492,246.132472,3.664377,248.427702,1.573271
Bus293,245.091211,-0.516422,246.023934,3.664528,248.568980,1.572901
Bus294,243.888755,-0.513518,245.204490,3.664594,248.298804,1.574040
Bus295,243.771778,-0.513261,245.072723,3.664662,248.212038,1.574273
Bus296,243.511995,-0.512582,244.858811,3.664690,248.200211,1.574375
Bus297,243.471995,-0.512507,244.796801,3.664856,248.133822,1.574477
Bus298,245.109249,-0.516493,246.132027,3.664377,248.420152,1.573289
Bus299,245.109787,-0.516492,246.132448,3.664377,248.427199,1.573272
Bus300,245.091024,-0.516422,246.023324,3.664529,248.568789,1.572901
Bus301,243.886326,-0.513512,245.204315,3.664594,248.298670,1.574040
Bus302,243.771064,-0.513261,245.072190,3.664662,248.201345,1.574299
Bus303,243.373093,-0.512185,244.763888,3.664610,248.215357,1.574430
Bus304,243.452844,-0.512460,244.777534,3.664878,248.123301,1.574500
Bus305,245.108919,-0.516493,246.131771,3.664377,248.415751,1.573299
Bus306,245.109749,-0.516492,246.132419,3.664377,248.426614,1.573274
Bus307,245.089944,-0.516423,246.019786,3.664535,248.567682,1.572901
Bus308,243.883302,-0.513505,245.204097,3.664593,248.298504,1.574040
Bus309,243.770927,-0.513262,245.072087,3.664662,248.199286,1.574304
Bus310,243.362719,-0.512155,244.756798,3.664603,248.216488,1.574434
Bus311,243.446480,-0.512444,244.771132,3.664886,248.119806,1.574508
Bus312,245.108288,-0.516494,246.131280,3.664377,248.407304,1.573319
Bus313,245.109676,-0.516492,246.132365,3.664377,248.425494,1.573276
Bus314,245.085372,-0.516424,246.004822,3.664560,248.562997,1.572899
Bus315,243.880175,-0.513497,245.203872,3.664593,248.298332,1.574040
Bus316,243.770825,-0.513262,245.072011,3.664662,248.197762,1.574307
Bus317,243.354015,-0.512134,244.756229,3.664603,248.216068,1.574434
Bus318,243.241404,-0.511775,244.632607,3.664633,248.208682,1.574453
Bus319,243.443159,-0.512436,244.767791,3.664890,248.117981,1.574512
Bus320,245.106428,-0.516496,246.129835,3.664377,248.382434,1.573378
Bus321,245.109395,-0.516493,246.132157,3.664377,248.421200,1.573287
Bus322,243.876486,-0.513488,245.203606,3.664593,248.298129,1.574041
Bus323,243.770708,-0.513262,245.071924,3.664662,248.196007,1.574312
Bus324,243.309190,-0.512025,244.753298,3.664599,248.213905,1.574434
Bus325,243.183198,-0.511593,244.573008,3.664647,248.204936,1.574463
Bus326,243.440316,-0.512428,244.764930,3.664893,248.116420,1.574515
Bus327,245.108438,-0.516494,246.131446,3.664377,248.406545,1.573322
Bus328,243.874384,-0.513483,245.203455,3.664593,248.298014,1.574041
Bus329,243.770592,-0.513262,245.071837,3.664662,248.194265,1.574316
Bus330,243.293541,-0.511987,244.752274,3.664598,248.213150,1.574434
Bus331,243.179111,-0.511598,244.569936,3.664648,248.144992,1.574606
Bus332,243.074008,-0.511177,244.445299,3.664649,248.228773,1.574408
Bus333,243.437082,-0.512420,244.761677,3.664897,248.114643,1.574519
Bus334,243.864887,-0.513460,245.202771,3.664592,248.297492,1.574041
Bus335,243.769570,-0.513263,245.071074,3.664662,248.178966,1.574352
Bus336,243.259483,-0.511904,244.750047,3.664595,248.211506,1.574435
Bus337,243.177492,-0.511600,244.568719,3.664648,248.121253,1.574663
Bus338,243.071853,-0.511177,244.399630,3.664761,248.225921,1.574404
Bus339,243.051734,-0.511106,244.427866,3.664636,248.233619,1.574410
Bus340,243.434535,-0.512414,244.759115,3.664900,248.113244,1.574522
Bus341,243.861191,-0.513451,245.202505,3.664591,248.297289,1.574041
Bus342,243.767482,-0.513266,245.069514,3.664663,248.147692,1.574427
Bus343,243.245663,-0.511870,244.749073,3.664594,248.210768,1.574435
Bus344,243.252851,-0.511888,244.749646,3.664594,248.211219,1.574435
Bus345,243.070769,-0.511177,244.376671,3.664816,248.224488,1.574402
Bus346,243.032654,-0.511045,244.412930,3.664625,248.237770,1.574411
Bus347,243.432399,-0.512409,244.756966,3.664902,248.112071,1.574525
Bus348,243.859907,-0.513448,245.202412,3.664591,248.297218,1.574041
Bus349,243.224985,-0.511820,244.747616,3.664592,248.209665,1.574435
Bus350,243.251927,-0.511885,244.749591,3.664594,248.211179,1.574435
Bus351,243.070668,-0.511177,244.374534,3.664822,248.224354,1.574402
Bus352,243.019233,-0.511003,244.402425,3.664617,248.240690,1.574412
Bus353,243.430472,-0.512404,244.755027,3.664905,248.111012,1.574527
Bus354,243.858940,-0.513446,245.202343,3.664591,248.297165,1.574041
Bus355,243.250924,-0.511883,244.749530,3.664594,248.211135,1.574435
Bus356,243.070627,-0.511177,244.373652,3.664824,248.224299,1.574402
Bus357,243.002275,-0.510948,244.389151,3.664606,248.244380,1.574413
Bus358,243.428877,-0.512400,244.753422,3.664907,248.110136,1.574529
Bus359,243.858232,-0.513444,245.202292,3.664591,248.297126,1.574041
Bus360,243.250046,-0.511881,244.749477,3.664594,248.211097,1.574435
Bus361,243.070597,-0.511177,244.373030,3.664825,248.224260,1.574402
Bus362,242.991651,-0.510915,244.380834,3.664600,248.246692,1.574414
Bus363,243.427027,-0.512395,244.751561,3.664909,248.109119,1.574531
Bus364,243.857873,-0.513443,245.202266,3.664591,248.297106,1.574041
Bus365,243.249112,-0.511878,244.749421,3.664594,248.211057,1.574435
Bus366,243.070567,-0.511177,244.372393,3.664827,248.224220,1.574402
Bus367,242.975336,-0.510863,244.368062,3.664590,248.250242,1.574415
Bus368,243.424994,-0.512390,244.749515,3.664911,248.108002,1.574533
Bus369,243.857344,-0.513442,245.202228,3.664591,248.297077,1.574041
Bus370,243.247780,-0.511875,244.749340,3.664594,248.210999,1.574435
Bus371,243.070532,-0.511177,244.371641,3.664829,248.224173,1.574402
Bus372,242.959072,-0.510811,244.355330,3.664580,248.253781,1.574417
Bus373,243.413908,-0.512363,244.738362,3.664924,248.101912,1.574547
Bus374,243.856459,-0.513440,245.202164,3.664591,248.297029,1.574041
Bus375,243.246160,-0.511871,244.749242,3.664594,248.210929,1.574435
Bus376,243.070487,-0.511177,244.370693,3.664831,248.224114,1.574402
Bus377,242.940825,-0.510752,244.341044,3.664569,248.257752,1.574418
Bus378,243.331366,-0.512132,244.649834,3.665014,248.066740,1.574625
Bus379,243.413307,-0.512363,244.737919,3.664924,248.092579,1.574569
Bus380,243.852508,-0.513430,245.201880,3.664591,248.296811,1.574041
Bus381,243.236121,-0.511847,244.748636,3.664593,248.210495,1.574435
Bus382,243.070447,-0.511177,244.369845,3.664833,248.224061,1.574402
