# output/output_current_566.csv run at 2019-09-30 09:26:00 GMT on 1884 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
LINE182,0.000000,1.909196,0.000000,3.647405,0.000000,1.422471
LINE183,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE184,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE185,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE186,6.432259,-0.817691,9.421304,3.251850,3.573162,1.570106
LINE187,2.423380,-0.519753,2.414741,3.661931,8.230225,1.103715
LINE188,0.000000,2.473160,0.000000,1.545864,0.000000,1.557583
LINE189,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE190,0.000000,1.114709,0.000000,-0.426113,0.000000,4.620923
LINE191,0.000000,1.809888,0.000000,3.807071,0.000000,1.536474
LINE192,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE193,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE194,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE195,6.432259,-0.817691,9.421304,3.251850,3.573162,1.570106
LINE196,1.201552,-0.519769,1.197269,3.661915,4.143074,1.101045
LINE197,1.221828,-0.519738,1.217472,3.661947,4.087181,1.106422
LINE198,0.000000,2.133867,0.000000,-0.488580,0.000000,3.116661
LINE199,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE200,0.000000,-0.371547,0.000000,-0.371547,0.000000,1.135244
LINE201,0.000000,2.054537,0.000000,3.481040,0.000000,1.563782
LINE202,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE203,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE204,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE205,4.184488,-0.987898,1.201120,3.661901,1.189742,1.570132
LINE206,2.414612,-0.519760,8.333524,3.194359,2.383420,1.570093
LINE207,1.201552,-0.519769,1.197269,3.661915,4.143074,1.101045
LINE208,1.221828,-0.519738,1.217472,3.661947,4.087181,1.106422
LINE209,0.000000,3.116661,0.000000,1.545864,0.000000,-0.024932
LINE210,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE211,0.000000,2.151925,0.000000,3.292169,0.000000,1.643056
LINE212,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE213,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE214,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE215,4.184488,-0.987898,1.201120,3.661901,1.189742,1.570132
LINE216,2.414612,-0.519760,8.333524,3.194359,2.383420,1.570093
LINE217,1.221828,-0.519738,1.217472,3.661947,4.087181,1.106422
LINE218,0.000000,4.687457,0.000000,0.000000,0.000000,3.116661
LINE219,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE220,0.000000,2.491994,0.000000,3.112495,0.000000,1.493920
LINE221,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE222,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE223,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE224,4.184488,-0.987898,1.201120,3.661901,1.189742,1.570132
LINE225,2.414612,-0.519760,8.333524,3.194359,2.383420,1.570093
LINE226,1.221828,-0.519738,1.217472,3.661947,4.087181,1.106422
LINE227,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE228,0.000000,2.652820,0.000000,3.059681,0.000000,1.299177
LINE229,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE230,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE231,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE232,2.414612,-0.519760,8.333524,3.194359,2.383420,1.570093
LINE233,0.000000,-0.301150,0.000000,3.625278,0.000000,-0.213768
LINE234,1.221828,-0.519738,1.217472,3.661947,4.087181,1.106422
LINE235,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE236,0.000000,2.878160,0.000000,3.324409,0.000000,1.276466
LINE237,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE238,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE239,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE240,2.414612,-0.519760,8.333524,3.194359,2.383420,1.570093
LINE241,1.221828,-0.519738,1.217472,3.661947,4.087181,1.106422
LINE242,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE243,0.000000,2.993212,0.000000,3.210102,0.000000,1.050415
LINE244,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE245,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE246,139.543645,-1.157448,107.693152,3.014820,86.600950,0.921371
LINE247,1.207089,-0.519760,4.167367,3.194302,1.191497,1.570093
LINE248,1.207522,-0.519759,4.166157,3.194416,1.191924,1.570094
LINE249,1.221828,-0.519738,1.217472,3.661947,4.087181,1.106422
LINE250,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE251,0.000000,2.737194,0.000000,3.285753,0.000000,1.506505
LINE252,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE253,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE254,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE255,132.998913,-1.159290,107.370863,3.012567,86.283702,0.918592
LINE256,1.221828,-0.519738,1.217472,3.661947,4.087181,1.106422
LINE257,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE258,0.000000,2.085893,0.000000,3.464664,0.000000,1.058306
LINE259,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE260,2.411784,-0.518336,8.374996,3.193602,2.377479,1.571001
LINE261,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE262,132.998913,-1.159290,107.370863,3.012567,86.283702,0.918592
LINE263,1.221828,-0.519738,1.217472,3.661947,4.087181,1.106422
LINE264,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE265,0.000000,1.051347,0.000000,3.951769,0.000000,1.312236
LINE266,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE267,1.187501,-0.518366,4.239061,3.188863,1.170605,1.570971
LINE268,1.224284,-0.518306,4.136031,3.198459,1.206874,1.571031
LINE269,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE270,0.370080,-0.519747,0.368016,3.657893,6.538690,0.963971
LINE271,132.702156,-1.160955,107.077082,3.010499,79.752295,0.914872
LINE272,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE273,0.000000,0.387183,0.000000,-1.100877,0.000000,1.069781
LINE274,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE275,1.187501,-0.518366,4.239061,3.188863,1.170605,1.570971
LINE276,1.224284,-0.518306,4.136031,3.198459,1.206874,1.571031
LINE277,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE278,0.370080,-0.519747,0.368016,3.657893,6.538690,0.963971
LINE279,132.702156,-1.160955,107.077082,3.010499,79.752295,0.914872
LINE280,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE281,0.000000,0.118938,0.000000,-1.479242,0.000000,1.284574
LINE282,0.771094,-0.522477,0.767740,3.658214,12.952812,0.964798
LINE283,1.224284,-0.518306,4.136031,3.198459,1.206874,1.571031
LINE284,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE285,0.370080,-0.519747,0.368016,3.657893,6.538690,0.963971
LINE286,48.651756,-1.092360,29.615817,3.120050,16.468192,1.104934
LINE287,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE288,4.157717,-0.982902,1.216768,3.662387,1.204298,1.571068
LINE289,0.000000,3.106131,0.000000,3.106131,0.000000,3.868680
LINE290,0.408929,-0.522137,0.407155,3.658565,6.409275,0.967355
LINE291,0.362165,-0.522861,0.360585,3.657817,6.543579,0.962292
LINE292,1.224284,-0.518306,4.136031,3.198459,1.206874,1.571031
LINE293,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE294,0.370080,-0.519747,0.368016,3.657893,6.538690,0.963971
LINE295,48.651756,-1.092360,29.615817,3.120050,16.468192,1.104934
LINE296,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE297,0.408929,-0.522137,0.407155,3.658565,6.409275,0.967355
LINE298,0.362165,-0.522861,0.360585,3.657817,6.543579,0.962292
LINE299,1.224284,-0.518306,4.136031,3.198459,1.206874,1.571031
LINE300,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE301,0.370080,-0.519747,0.368016,3.657893,6.538690,0.963971
LINE302,48.651756,-1.092360,29.615817,3.120050,16.468192,1.104934
LINE303,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE304,0.408929,-0.522137,0.407155,3.658565,6.409275,0.967355
LINE305,0.362165,-0.522861,0.360585,3.657817,6.543579,0.962292
LINE306,1.224284,-0.518306,4.136031,3.198459,1.206874,1.571031
LINE307,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE308,0.370080,-0.519747,0.368016,3.657893,6.538690,0.963971
LINE309,48.651756,-1.092360,29.615817,3.120050,16.468192,1.104934
LINE310,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE311,0.408929,-0.522137,0.407155,3.658565,6.409275,0.967355
LINE312,0.362165,-0.522861,0.360585,3.657817,6.543579,0.962292
LINE313,1.224284,-0.518306,4.136031,3.198459,1.206874,1.571031
LINE314,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE315,0.370080,-0.519747,0.368016,3.657893,6.538690,0.963971
LINE316,13.332476,-1.121947,0.742412,3.657747,0.731493,1.567903
LINE317,35.327317,-1.081195,28.980661,3.106929,15.817077,1.084278
LINE318,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE319,0.408929,-0.522137,0.407155,3.658565,6.409275,0.967355
LINE320,0.362165,-0.522861,0.360585,3.657817,6.543579,0.962292
LINE321,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE322,0.370080,-0.519747,0.368016,3.657893,6.538690,0.963971
LINE323,13.332476,-1.121947,0.742412,3.657747,0.731493,1.567903
LINE324,35.327317,-1.081195,28.980661,3.106929,15.817077,1.084278
LINE325,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE326,0.362165,-0.522861,0.360585,3.657817,6.543579,0.962292
LINE327,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE328,0.370080,-0.519747,0.368016,3.657893,6.538690,0.963971
LINE329,13.332476,-1.121947,0.742412,3.657747,0.731493,1.567903
LINE330,0.377377,-0.518092,0.375120,3.657811,6.524733,0.964846
LINE331,35.008786,-1.086949,28.661707,3.100078,9.371125,1.167331
LINE332,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE333,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE334,0.370080,-0.519747,0.368016,3.657893,6.538690,0.963971
LINE335,13.332476,-1.121947,0.742412,3.657747,0.731493,1.567903
LINE336,0.377377,-0.518092,0.375120,3.657811,6.524733,0.964846
LINE337,0.360635,-0.517998,6.676349,3.053334,0.352732,1.567535
LINE338,34.705506,-1.092548,21.994864,3.114263,9.047309,1.152141
LINE339,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE340,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE341,0.370080,-0.519747,0.368016,3.657893,6.538690,0.963971
LINE342,6.590144,-1.119236,0.396910,3.658191,0.391092,1.568327
LINE343,6.742380,-1.124596,0.345502,3.657235,0.340401,1.567416
LINE344,0.360635,-0.517998,6.676349,3.053334,0.352732,1.567535
LINE345,34.705506,-1.092548,21.994864,3.114263,9.047309,1.152141
LINE346,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE347,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE348,6.590144,-1.119236,0.396910,3.658191,0.391092,1.568327
LINE349,6.742380,-1.124596,0.345502,3.657235,0.340401,1.567416
LINE350,0.360635,-0.517998,6.676349,3.053334,0.352732,1.567535
LINE351,34.705506,-1.092548,21.994864,3.114263,9.047309,1.152141
LINE352,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE353,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE354,6.742380,-1.124596,0.345502,3.657235,0.340401,1.567416
LINE355,0.360635,-0.517998,6.676349,3.053334,0.352732,1.567535
LINE356,34.705506,-1.092548,21.994864,3.114263,9.047309,1.152141
LINE357,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE358,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE359,6.742380,-1.124596,0.345502,3.657235,0.340401,1.567416
LINE360,0.360635,-0.517998,6.676349,3.053334,0.352732,1.567535
LINE361,34.705506,-1.092548,21.994864,3.114263,9.047309,1.152141
LINE362,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE363,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE364,6.742380,-1.124596,0.345502,3.657235,0.340401,1.567416
LINE365,0.360635,-0.517998,6.676349,3.053334,0.352732,1.567535
LINE366,34.705506,-1.092548,21.994864,3.114263,9.047309,1.152141
LINE367,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE368,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE369,6.742380,-1.124596,0.345502,3.657235,0.340401,1.567416
LINE370,0.360635,-0.517998,6.676349,3.053334,0.352732,1.567535
LINE371,34.705506,-1.092548,21.994864,3.114263,9.047309,1.152141
LINE372,84.230849,-1.200555,77.706291,2.968818,63.656725,0.865979
LINE373,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE374,6.742380,-1.124596,0.345502,3.657235,0.340401,1.567416
LINE375,0.360635,-0.517998,6.676349,3.053334,0.352732,1.567535
LINE376,34.705506,-1.092548,21.994864,3.114263,9.047309,1.152141
LINE377,83.952606,-1.203245,77.431381,2.965890,57.111770,0.854800
LINE378,0.358639,-0.519137,0.356592,3.657841,6.579573,0.963168
LINE379,6.549544,-1.120023,0.403243,3.658458,0.397964,1.568172
LINE380,6.742380,-1.124596,0.345502,3.657235,0.340401,1.567416
LINE381,0.360635,-0.517998,6.676349,3.053334,0.352732,1.567535
LINE382,34.705506,-1.092548,21.994864,3.114263,9.047309,1.152141
LINE383,83.952606,-1.203245,77.431381,2.965890,57.111770,0.854800
